Nr.	Hoedanigheid	Rood	Categorie GD	Level_2	Cat_1_nieuw	Cat_2_nieuw	Categorie_RS_1	Categorie_RS_2	Comment_JO	Comment_RS	Categorie NG	Patterns	tags																
91	amanuensis		Politiek & bestuur	??	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_beroep	\bam\w*sis\w*, amm?anuensis	"""Amanuensis van den"";""amanuensis vanden"";""Amanuensis vanden"""																
463	ambachtmeester		Beroep		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	ambac.*mee\w*	"""Ambachtsmeesters"";""Scheepen van Hulster-Ambagt, in qualiteit als Rentmeester der Domeinen van"""																
94	ambassadeur		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\bamb.s\w*rs?\b, \bambass\w*, \b\w*ba[fs]+adeu\w*, \b\w*sadeur\w*	"""haar Hoogh Mogende Ambassadeur aan het Hof van"";""Ambassadeur"";""haar Hoog Mog. Ambassadeur aan het Hof van"""																
103	ambtenaar		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bam[bp]t\w*	"""Amptman"";""Amptman van Bommel"";""Drossard van den Ampte van Montfort"""																
90	ambtman		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_beroep	\bam[bp]t\w*, am[pb]t?man\w*	"""Ampman van Thiel"";""Ampman"""																
650	amerikaan		Geografie		Geografie		Geografie				kw_id	\bameri[ck]+a+ne?n?\b	"""Americaan"";""als Schipper voerende het Americaansch Schip the Fair American"""																
470	ammodiateur		Beroep		Financiën		Financiën			verpachter van een domein of van een bron van inkomsten	kw_rest	\bammod\w*	"""ammodiateur"";""ammodiateurs"""																
16	apostel		geen hoedanigheid		Religie		Religie				kw_ambt	\bapost\w*	"""Apostel"";""Apostelen"";""Heere Nuntius Apostolicus"""																
467	apotheker		Beroep		Dienstverlening		Dienstverlening				kw_beroep	\bapot\w*	"""Apothecaris alhier inden Hage"";""Apotheker"";""Apothecaris"""																
654	appelant		Politiek & bestuur, Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_ambt	\bap+el+an[dten]+	"""Appellant"";""appellant"""																
655	arabier		Geografie		Geografie		Geografie				kw_id	\ba+ra+bier\w*	"""Arabiers"";""Arabieren"";""Arabiersche Koopluyden"""																
452	arbeider		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\ba+rbei\w*	"""aerbeyders"";""Arbeiders"";""arbeyders"""																
67	arbiter		Politiek & bestuur	Rechtspraak	Justitie		(Juridische) status en Rechtspraak		P&J		kw_ambt	\barbi\w*	"""Arbiters"";""arbiters"";""arbitrale"""																
