Nr.	Hoedanigheid	Rood	Categorie GD	Level_2	Cat_1_nieuw	Cat_2_nieuw	Categorie_RS_1	Categorie_RS_2	Comment_JO	Comment_RS	Categorie NG	Patterns	tags																
311	cantor		Godsdienst		Religie		Religie				kw_kerk	\bcantor\w*	"""Cantor"";""Cantorije"";""gewesen Cantor"""																
315	capellaan		Godsdienst		Religie		Religie				kw_kerk, kw_rest	\bcap+el\w*n, [kc]apell?aan\w*	"""Capellaan"";""Capellaanen"";""Capellaen"""																
312	capucijnen		Godsdienst		Religie		Religie				kw_rest	\b[kc]apu\w*	"""Capucijn"";""Capucynen"";""Capucinen"""																
779	carabiner		Krijgsmacht		Leger & Milities		Leger & Milities				kw_kerk	\b[kc]arabin\w*ers?\b	"""Ritmeester in het Regiment Carabiniers van den"";""Ritmeester in het Regiment Carabiniers van"";""Carabiniers"""																
778	cargadoor		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_kerk	\bcargado+rs?\b	"""Cargadoors te Rotterdam"";""Cargadoors, woonende te Amsterdam"";""Kooplieden, Assuradeurs, Rheeders van Scheepen en Cargadoors, woonagtig binnen deese Landen"""																
305	carthuser		Godsdienst		Religie		Religie				kw_kerk	\b[kc]ar?thu\w*	"""Carthusers"";""Prior vande Carthusers tot Antwerpen"";""Carthusers tot Vucht"""																
777	cassier		Beroep		Financiën		Financiën				kw_kerk	\bcas+iers?\b	"""Cassier"";""Cassier en Commis ter Secretary"";""Cassiers"""																
615	castellaan	kastelein	Beroep		Handel, Nijverheid & Kunst					Kastelein, of mensen uit Castilië? GD: in deze spelling niet gevonden, dus lastig	kw_rest	\bcastella\w*	"""Castellain"";""Castellan"""																
776	cavallier		Krijgsmacht		Leger & Milities		Leger & Milities				kw_beroep	\b[kc]aval+ier\w*	"""Cavalliers"""																
768	cellebroeder		Godsdienst		Religie		Religie				kw_kerk	\bcel+e?broe\w*	"""Cellebroers"";""Cellebroeders"";""Cellebroers tot Brussel"""																
128	ceremoniemeester		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_kerk	\bcer\w*me\w*	"""Ceremoniemeester"";""Heere Ceremoniemeester"";""tweede Ceremoniemeester"""																
774	chailli		geen hoedanigheid							"wat is dit? GD: komt in samenhang met ""bassa"" = pasja / pasha voor"	kw_kerk	\bchai?l+i	"""Chailli"";""Challi"""																
773	chasseur		Krijgsmacht		Leger & Milities		Leger & Milities				kw_ambt	\bchas+eur\w*	"""Chasseurs"""																
475	chef		Beroep							hangt van de context af	kw_beroep	\bcheff?[st]*\b	"""Generaal en Chef"";""Generaal en Chef Furst van Waldeck"";""Chefs"""																
154	chercher		Politiek & bestuur		Financiën		Financiën				kw_beroep	\bch?erchers?, \bcher.{0,3}rs?\b	"""Cherchers"";""Chercher"";""Cerchers"""																
557	chevalier		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_ambt	\bcheva\w*	"""Chevalier"";""Chevalier de Villeneuve"";""Chevallier"""																
126	chiaux		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bchiau\w*	"""Chiaulx"";""Chiaus"";""Chiaux"""																
478	chirurgijn		Beroep		Dienstverlening		Dienstverlening				kw_beroep	\bchir[uo]\w*, s?chirurg\w*	"""Chirugijn"";""Chiruogyn"""																
481	chirurgyn		Beroep		Dienstverlening		Dienstverlening				kw_beroep	\bchir[uo]\w*, s?chirurg\w*	"""Chirurgyn"";""Chirurgijn"";""Chirurgijns"""																
304	christen		Godsdienst		Religie		Religie				kw_id	\bchri.ten\w*	"""Christenen"";""Christen Slaven"";""Christen slaven"""																
153	cipier		Politiek & bestuur		Justitie		(Juridische) status en Rechtspraak		P&J		kw_beroep	\bcipp?ier\w*	"""Cipier"";""cipier"";""Cipiers"""																
772	cleeffsche raden		Geografie, Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\b[kch]+leef+s+c?h?e *ra\w*	"""Cleeffsche Raden"";""Cleefsche Raden"";""Gedeputeerde vande Cleeffsche Raden"""																
301	coadiutor	coadjutor	Godsdienst		Religie		Religie				kw_ambt	\bcoad[uij]\w*	"""Coadintor van Coelen"";""Coadiutor van Coelen"";""Coadjuteur"""																
297	collator		Godsdienst		Religie		Religie				kw_ambt	\bcolla\w*	"""Collator der Beursen"";""Collator"";""Collatores"""																
124	collecteur		Politiek & bestuur		Financiën		Financiën				kw_ambt	\bcollec\w*	"""Collecteur"";""Collecteurs"";""Commis Collecteur"""																
791	collega		Beroep		Status & relaties		(Juridische) status en Rechtspraak		S&R		kw_ambt	\bcolleg+a\w*	"""Collega"";""Emeritus Collega"""																
237	colllonel	kolonel	Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities			waarom tweemaal?	kw_ambt, kw_new, kw_rest	\bco\w?l*on+el\w*, \bcol+.{0,2}n\w?l\w*, \bc\wl+on+\w?l\w*, \bc[aeo]l+onel\w*, \bcol+on[^i]*\b, \bcol+o\w{0,3}l\b	"""Coll"";""Lt. Coll"";""Lt. Coll."""																
239	collonel	kolonel	Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt, kw_new, kw_rest	\bco\w?l*on+el\w*, \bcol+.{0,2}n\w?l\w*, \bc\wl+on+\w?l\w*, \bc[aeo]l+onel\w*, \bcol+on[^i]*\b, \bcol+o\w{0,3}l\b, \bco\w{0,3}n+el\b	"""Collonel"";""Colonnel"";""Lieutenant Collonel"""																
236	commandant		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	c[ao]mmand\w*	"""Commandeur"";""Commandeurs"";""commandeur"""																
68	commies		Politiek & bestuur	lokaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bcommi?e?s?e?n?s?\b	"""Commis"";""Commis Generaal"";""Commisen"""																
95	commis	commies	Politiek & bestuur	lokaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\bcommi?e?s?e?n?s?\b, commis\b, \bcomm[ui]+ss?\b, \bcomm+[yi]s+e?n?\b, \bcomm?[yji]+s+d?e?n?s?\b, \bcom+is+\b	"""Commisss"";""Commisss."";""Commys"""																
122	commissaris		Politiek & bestuur	lokaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	co[nm]+is?sa\w+, \bcom.{0,5}a? *ri\w*, \bc.{0,2}mmis+ari\w*	"""Commissaris"";""Commissarissen"";""Commissarisen"""																
536	commissievaarder		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_ambt	\bcom\w*[wv]a[ae]r?de\w*, \bcomm.*vaar\w*	"""Commissievaerders"";""Commissievaerder"";""Commissievaerders deser Landen"""																
537	commissionaris		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_ambt	\bcommission\w*	"""Commissionaris"";""Commissionarissen"";""Koopman of Commissionaris"""																
601	commodor		Krijgsmacht		Leger & Milities		Leger & Milities				kw_rest	\bcom+odor\w*	"""Commodore"";""Engelsche Commodore"";""Engelschen Commodore"""																
547	compagnon		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_ambt	\bcompagno\w*	"""Compagnons"";""als eenige nog overgebleeven Compagnon van het Huis van Negotie"";""Compagnons of Bediendens"""																
265	complice		Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_ambt	\bcomplic\w*	"""complicen"";""Complicen"";""syne complicen"""																
769	comptoirbediende		Beroep		Handel, Nijverheid & Kunst	Politiek & Bestuur	Handel, Nijverheid & Kunst	Politiek & Bestuur			kw_beroep	\bcompt\w* *bedien\w*	"""Comptoirbediende"""																
551	comte		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_beroep, kw_rest	\bcomte.{0,1}\b, \bcomt\w*	"""Comte"";""Comte de"";""Comte de Wartensleben"""																
739	comte		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_beroep, kw_rest	\bcomte.{0,1}\b, \bcomt\w*	"""Comte d'Avaux"";""Comte de Tarouca"";""Comte de Starhemberg"""																
539	concierge		Beroep		Dienstverlening		Dienstverlening				kw_ambt	\bconch?ierg\w*	"""Concierge van ‚Äõs Lants gehuijrde huijsinge"";""Concherge van ‚Äõs Lants gehuijrde huijsinge"";""Conchierge"""																
602	concilliator		geen hoedanigheid							GD: geen hoedanigheid (~voorstel verzoening)	kw_rest	\bconcil+ia\w*	"""Conciliatoir"";""conciliatoir"""																
38	concipier		geen hoedanigheid							GD: geen hoedanigheid (~ontwerp)	kw_rest	\bconcip\w*	"""concipieren"";""concipieren."""																
767	concubine		Familie status, Juridische status		Status & relaties		Familie				kw_id	\bconcubin\w*	"""Concubine"""																
230	conducteur		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\bcondu\w*	"""Conducteur"";""Conducteurs"";""conducteurs"""																
344	confesseur		Godsdienst		Religie		Religie				kw_kerk	\bconfes\w*	"""Confesseurs"";""Confesseurs van de Galeyen"";""drie en twintigh Confesseurs van de Galeyen"""																
604	confrateur		Beroep		Status & relaties		(Juridische) status en Rechtspraak		?	"GD: zie ""confrater"" in NWT (~collega)"	kw_ambt	\bconfr\w*	"""Confraters"";""Confrater"";""confraters"""																
221	connestable		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\bcon+\w{0,1}esta\w*	"""heere Connestable van Castille"";""Heere Connestable van Castilien"";""heere Connestable de Castille"""																
534	conrector		Beroep		Politiek & Bestuur		Politiek & Bestuur				kw_rest	\bconrect\w*	"""Conrector"";""Conrectors"";""conrector"""																
121	conseiller		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_rest	\bconseil\w*	"""Conseiller"";""Conseiller d'Etat"";""Conseiller Priv√©"""																
251	conservator		Juridische status		Politiek & Bestuur	Justitie	(Juridische) status en Rechtspraak		?	"GD: ""rechters conservateurs"", "	kw_rest	\bconser[uv]at\w*	"""Conseruateur van Schotlant"";""Reghters Conservateurs"";""conseruateur van Schotlant"""																
766	constabel		Krijgsmacht		Leger & Milities		Leger & Milities				kw_ambt	\bconsta[bp]el\w*	"""Constapels"";""Constapel"";""Constabel"""																
120	consul		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\bcon.{0,2}ul\w*, \bcons\w{0,2}l\b, \bc[ao]n.{0,2}u.{0,2}\b, \bc\wnsul+s?e?n?\b, \bcons.?.?\b, \bco\wsul, \b\wonsul	"""Consul"";""Consul Generaal"";""Consuls"""																
751	consul		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\bcon.{0,2}ul\w*, \bcons\w{0,2}l\b, \bc[ao]n.{0,2}u.{0,2}\b, \bc\wnsul+s?e?n?\b, \bcons.?.?\b, \bco\wsul, \b\wonsul	"""sijne Cons Mt. van Groot Brittannien"""																
255	contraventeur		Juridische status		Justitie		(Juridische) status en Rechtspraak		?	"GD: oud woord voor ""overtreder"""	kw_ambt	\bcontra[vu]en\w*	"""Contraventeurs"";""Contrauenteurs"";""Contraventeurs vandien"""																
119	controlleur		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt	c[ao]nte?re?[lr]?ol+\w*, \bc[ao]ntr\w*le\w*	"""Contrerolleur"";""Contrerolleurs"";""Contrerolleurschap"""																
43	convoyen en licenten		geen hoedanigheid							GD: geen hoedanigheid	kw_ambt, kw_rest	^ *con[uv]o+[yi].*licen\w* *$, \blicen\w*	"""Conuoyen ende Licenten"";""Conuoyen ende licenten"";""conuoyen ende Licenten"""																
40	convoyer		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bcon[uv]o[ijy]+ers?n?\b	"""Convoyers"";""Convoijer"";""Convoijers"""																
118	convoymeester		Politiek & bestuur	lokaal	Financiën	Scheepvaart, Landbouw & Visserij	Financiën	Scheepvaart			kw_ambt	[kc]o[un][uv]o[iyj]+me\w*, \b[kc]o[un][uv]o+[ijy] *m\w*r, \bconv\w*me\w*, \bcon[uv]o+[ijy]+m\w*	"""Convoijmeester"";""Convoymr"";""Convoijmeesters"""																
234	cornet		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\bcornet\w*	"""Cornet"";""Lieutenant of Cornet"";""Cornet vande Compagnie vanden"""																
227	corporaal		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\b[kc][ao]r?por\w*	"""Corporael"";""Sergeanten, Corporaals en Tambours"";""Sergeanten, Corporaals en Tambours van het Regiment Switzersche Guardes"""																
117	correspondent		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	c[ao][nr]respond\w*, cor.{0,2}espond\w*	"""Correspondent"";""Correspondenten"";""correspondent"""																
619	corsair	zeerover	Beroep		Scheepvaart, Landbouw & Visserij	Justitie	Scheepvaart, Landbouw & Visserij			piraat / GD: zeerover	kw_ambt	\bc[ou]rsai\w*	"""Corsairen"";""Corsaire"";""Algiersche Corsairen"""																
765	courantier		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_ambt	\b[kc]o[eu]rantier\w*	"""Courantiers"";""Courantier"";""Franschen Courantier"""																
116	courier		Beroep	Internationaal	Dienstverlening		Dienstverlening				kw_ambt	\b[kc]o[eu]r+ier\w*	"""Courier"";""Couriers"";""Courrier"""																
278	crediteur		Juridische status		Financiën		(Juridische) status en Rechtspraak		?		kw_ambt	\b[kc]rediteu\w*	"""Crediteuren"";""crediteuren"";""Crediteuren van"""																
240	curassier		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\bcurass\w*	"""Curassiers"";""curassiers"";""Curassau"""																
274	curator		Juridische status		Justitie		(Juridische) status en Rechtspraak		?		kw_ambt	curat\w*r\w*	"""Curateur"";""Curateuren"";""Curateurs"""																
555	czaar		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_ambt	\b[tc][sz]a+r\w*(?: *maj\w*)?	"""Czaer van Muscovien"";""sa Majest√© Czarienne"";""Czarsko"""																
550	dauphin		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_rest	\bdauph\w*	"""Dauphin"";""Dauphin van Vrankryk"";""Heere Dauphin"""																
273	debiteur		Juridische status		Financiën		Financiën				kw_ambt	\bdebite\w*	"""Debiteur"";""debiteuren"";""debiteur"""																
115	deciseur		Politiek & bestuur	??	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bdecise\w*	"""Commissarissen Deciseurs"";""Heeren Commissarissen Deciseurs"";""haar Hoogh Mogende Commissarissen Deciseurs"""																
326	deeken		Godsdienst		Religie		Religie				kw_rest	deeken	"""Deecken"";""Vaandraager en Deekenen"";""Vice-Deeken"""																
114	dei		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bde[iy]\b	"""Dey"";""Dey van Algiers"";""Dey en Regeering van Algiers"""																
246	delinquent		Juridische status, Rechtspraak		Justitie		(Juridische) status en Rechtspraak		P&J		kw_beroep	\bdelin[ckq]\w*	"""delinquanten"";""Delinquant"";""Delinquanten"""																
238	deserteur		Krijgsmacht		Leger & Milities		Leger & Milities				kw_beroep	\bde[fs]erte\w*	"""Deserteurs"";""Deserteur"";""deserteurs"""																
430	deurwaarder		Beroep		Justitie		(Juridische) status en Rechtspraak		P&J		kw_beroep	\bdeur *w\w*	"""Deurwaerder"";""Deurwaarder"";""Deurwaerders"""																
316	diaken		Godsdienst		Religie		Religie				kw_kerk	di?[ae][ck][eo]n\w{0,2}\b	"""Diaconen"";""Diacon"";""diaconen"""																
616	dienaar		??, Beroep		Dienstverlening		Dienstverlening				kw_beroep, kw_rest	\bb?e?diena\w*, \bdiena\w*	"""dienaer"";""Dienaers"";""dienaers"""																
424	dienstbode		Beroep		Dienstverlening		Dienstverlening				kw_rest	\bdienstbo\w*	"""dienstboden"";""Dienstboden"""																
423	dienstmeid		Beroep		Dienstverlening		Dienstverlening				kw_beroep	di.{1,2}nstm[ae]\w*	"""Dienstmeid"";""Dienstmaaght"";""dienstmaecht"""																
418	dijkgraaf		Beroep		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	dy?i?j?c?kgra\w*	"""Dijckgraeff"";""Dijckgraeff ende Geswoorens"";""Dyckgraaf"""																
443	directeur		Beroep		Politiek & Bestuur		Politiek & Bestuur				kw_beroep, kw_rest	directe\w*, \bdirect\w{0,3}rs?e?n?\b	"""Directeuren"";""Directeur"";""Directeuren van den Levantschen Handel en Navigatie in de Middelandsche Zee"""																
764	dispensier		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	\bdispensi\w*rs?e?n?	"""dispensier"";""dispensier van"""																
342	dissident		Godsdienst		Religie		Religie				kw_id	\bdisside\w*	"""Dissidenten in Polen"";""dissidenten in Polen"";""Dissidenten"""																
113	distributeur		Politiek & bestuur		Financiën		Financiën				kw_ambt	\bdistribu\w*rs?e?n?\b	"""Collecteur en Distributeur van het Generaliteyts kleyn Zeegel binnen de Stad 's Hertogenbosch"";""Collecteur en Distributeur van het Generaliteyts kleyn Zegel, over het Quartier van Oosterwyck, Meyerye van 's Hertogenbosch"";""Collecteur en Distributeur van het gemelde kleyn Zeegel voor het Collegie van het Hof van Vlaanderen"""																
377	dochter		Familie status		Status & relaties		Familie				kw_id	\bdo[chg]+ter\w*	"""Dochter van"";""dochter van"";""dochter"""																
462	doctor		Beroep		Onderwijs & Wetenschap		Onderwijs & Wetenschap				kw_beroep	\bdoct\w*, do[ck]+t[eo]r\b	"""Doctoren"";""doctoren"";""Doctoris"""																
468	dokter		Beroep		Dienstverlening		Dienstverlening				kw_beroep	do[ck]+t[eo]r\b	"""Doctor"";""doctor"";""Medicinae Doctor"""																
387	domesticq		Familie status		Dienstverlening		Dienstverlening				kw_beroep	\bdomesti\w*	"""Domestiequen"";""Domesticq van"";""Domestieq"""																
324	domheer		Godsdienst		Religie		Religie				kw_kerk	\bdomheer\w*	"""Domheer tot Luijck"";""Domheer t' Utrecht"";""Domheer tot Utrecht"""																
762	doodslager		Rechtspraak, Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_beroep	\bdoo[dt]+s+lager\w*	"""Dootslagers"";""dootslagers"";""Doodtslagers"""																
554	doorluchtigheid		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_edelen	^ *doorl\w*[dt]+ *, ^ *doorl\w* *$	"""Doorlt"";""haare Doorluchtigheydt"";""Doorlt. van Brandenburgh"""																
482	dorpmeester		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	dorpmeester\w*	"""Dorpmeesters der vrye Heerlijckheyd Rutten"";""Dorpmeesters ende Sesmannen van Houpertingen"";""Dorpmeesters en Sesmannen van Houpertingen"""																
401	douariere		Familie status		Adel & Vorsten	Status & relaties	Familie		A&V?		kw_beroep	\bdouarie\w*	"""Douariere van Nassau"";""Douariere"";""Douariere van den"""																
41	douceur		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bdouce\w*	"""douceur van haar Hoogh Mogende"";""eenig douceur"";""douceur van haar Hoog Mogende"""																
112	dragoman		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_beroep	drag[eo]m\w*	"""Dragoman"";""Dragoman van de Porta"";""Drageman"""																
223	dragonder		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_beroep	^ *drago[un]d\w*	"""Dragonders"";""dragonders"";""Dragonder"""																
54	drossaard		Politiek & bestuur, Rechtspraak	lokaal	Politiek & Bestuur	Justitie	Politiek & Bestuur	(Juridische) status en Rechtspraak			kw_beroep	\bdroi?s+a\w*	"""Drossarden"";""Drossaerts"";""drossaerts"""																
57	droste		Politiek & bestuur, Rechtspraak	lokaal	Politiek & Bestuur	Justitie	Politiek & Bestuur	(Juridische) status en Rechtspraak			kw_beroep	\bdroste?\b, \bdrost\w*	"""Drossaert"";""Drossard"";""Drost"""																
447	drukker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bdru[ck]+er\w*	"""Drucker"";""drucker"";""druckers"""																
761	dryver		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	\bdr[ijy]+ver\w*	"""Dryvers"";""Dryvers der Ossen"";""Dryvers en Verkoopers van Rundbeesten"""																
347	duinkerker		Geografie		Geografie		Geografie				kw_id	\bduij?n[kc]er\w*ers?\b	"""Duynkerckers"";""Duinkerckers"";""Duijnkerckers"""																
396	echte lieden		Familie status		Status & relaties		Familie				kw_id, kw_rest, kws_qual	\bechte *l[ui]\w*, \blu?ie?den\b, \be[chg]+ten?\b	"""Echte Lieden"";""echte Lieden"";""Egtelieden"""																
393	echtgenoot		Familie status		Status & relaties		Familie				kw_id	\bechtgeno\w*	"""Weduwe en Boedelhoudster van meede wylen haaren Man Gabriel Lixraven"";""als getrouwt hebbende"";""als getrouwt sijnde met de"""																
559	edele		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_edelen	\bedel\w*	"""Edelman"";""Engels Edelman"";""Edelman van het geschut"""																
191	eerste generaal		Krijgsmacht		Leger & Milities		Leger & Milities				kw_rest	\beerst\w* gen\w*	"""eersten Generael"";""eersten Generael van den Staet"";""eersten Generael vanden Staat"""																
287	eigenaar		Juridische status		Status & relaties		(Juridische) status en Rechtspraak		S&R		kw_id	\beigena\w*	"""eygenaer"";""Eygenaars"";""Eygenaers"""																
281	eiser		Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_rest	\beiss?c?h?ers?e?n?\b	"""Eisscher"";""Eijsscher"";""Eijsschers"""																
588	elector		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_edelen	\belector\w*	"""Electeur"";""Electeur de Saxe"";""Electeur de Cologne"""																
346	emigrant		Geografie, Juridische status		Status & relaties	Geografie	(Juridische) status en Rechtspraak	Geografie	S&R		kw_rest	\bemigrant\w*	"""Saltzburghsche Emigranten"";""Fransche Emigranten"";""Durnberghsche Emigranten"""																
590	eminentie		Adel & vorstenhuizen		Justitie		(Juridische) status en Rechtspraak		P&J		kw_rest	\bem+in+en[tc]i\w*	"""Sijne Eminentie"";""sijn Eminentie"";""sijne Eminentie"""																
186	engelse generaal		Geografie, Krijgsmacht		Leger & Milities		Leger & Milities			liever uit elkaar halen	kw_rest	\beng\w* *genera\w*	"""Engelsche Generaels"";""Engelsche Generaals"";""Engelschen Generael"""																
351	engelsen		Geografie		Geografie		Geografie				kw_id	^ *engels\w* *$	"""Engelschen"";""Engelsman"";""Engels"""																
97	envoyé		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_rest	envo\w*	"""Envoij√©"";""Envoy√©"";""Heere Envoy√©"""																
30	equipagie	equipagiemeester	Beroep, Politiek & bestuur		Scheepvaart, Landbouw & Visserij	Leger & Milities	Scheepvaart, Landbouw & Visserij	Krijgsmacht			kw_rest	\bequipag\w*	"""Equipagemeester"";""Equipagiemeester"";""Equipagiemr"""																
64	equipagiemeester	equipagemeester	Beroep, Politiek & bestuur		Scheepvaart, Landbouw & Visserij	Leger & Milities	Scheepvaart, Landbouw & Visserij	Krijgsmacht			kw_rest	\beq\w* *me?e?s?t?e?rs?e?n?\b, \bequipag\w*, eq\w*meester	"""Equippagemre"";""Equippagemre tot Rotterdam"";""equippagemeester vande OostIndische Compaignie"""																
275	erfgenaam		Juridische status		Status & relaties		Familie				kw_id, kw_rest	\berf+gen\w*, \ber[fv]+g?en\w*, \ber?[fv]+g?ena\w*	"""Erffgenamen van"";""Erffgenamen"";""weduwe ende Erffgenamen van"""																
760	erfgeseten		Beroep, Juridische status		Status & relaties		(Juridische) status en Rechtspraak		S&R		kw_rest	\ber?[fv]+g?e[sz]\w*	"""Erffgeseten tot Gromsmolen"";""Erffgeseten tot Groothuijsen"""																
34	ertzstift		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bert[sz]sti\w*	"""Ertzstiff"";""Ertzstiffs"";""Ertzstift"""																
433	essayeur		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_ambt, kw_rest	\b[ae]ssa[iy]\w*, \b[ea]ssa[iy]eu\w*, \b[ae]s+a[yijv]+eu\w*	"""Essayeur Generaal"";""Assaijeur Generael"";""Assayeur generael"""																
756	evesque		Godsdienst		Religie		Religie				kw_edelen, kw_rest	\bevesq\w*, \ber?[fv]+g?e[sz]\w*	"""Evesque"""																
66	excellentie		Adel & vorstenhuizen, Politiek & bestuur		Adel & Vorsten		Adel & Vorsten			komt dit alleen voor bij de stadhouders?	kw_edelen, kw_zlast	\bexce\w{0,3}enti\w*, \bexc\w*l+en[tci]+\w*, ^ *\bexc[^s]* *$	"""Syn Extie"";""syn Excie"";""Syn Excie"""																
435	executeur		Beroep		Justitie		(Juridische) status en Rechtspraak		?		kw_ambt	\bexecut\w*rs?e?n?\b	"""Executeurs"";""Executeuren van den Boedel van wylen"";""Executeur"""																
277	executeur van de testamenten		Juridische status		Justitie		(Juridische) status en Rechtspraak		?		kw_ambt	ex.*test\w*, \bexecut\w*rs?e?n?\b	"""Executeur van den Testamente van wylen"";""Executeurs van de Testamenten van"";""Executeurs van den Testamente van"""																
436	expediteur		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bexped\w*	"""Expediteurs te Amsterdam"";""Expediteur"";""Expediteur Generaal der Vivres"""																
623	expert		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bexper\w*	"""experientie"";""expert"";""Experientie"""																
437	exploicteur		Beroep				(Juridische) status en Rechtspraak		?	GD: geen hoedanigheid	kw_rest	exploi\w*	"""exploict"";""Exploicteur"";""exploicten"""																
596	extraordinaris		Politiek & bestuur							komt dit zelfstandig voor?	kw_ambt, kws_qual	\bextraor\w* *[ie][mn].{0,3}[ijy]+\w*, ^ *extr\w* *$, extrao\w*	"""Extracordinaire de"";""Extracordinaris"""																
123	extraordinaris envoyé		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest, kws_qual	\bextraor\w* *[ie][mn].{0,3}[ijy]+\w*, envo\w*, extrao\w*	"""haar Hoogh Mogende extraordinaris Envoy√© aan het Hof van"";""extraordinaris Envoy√© van"";""haer Hoogh Mogende extraordinaris Envoy√© aen het Hof van"""																
440	fabriqueur		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_ambt	\bfabri\w*rs?\b	"""Fabriqueurs te Leyden"";""Fabriqueur en Leeverancier te Delft"";""Fabriqueur en Leverancier, woonende te Delft"""																
247	factoor		Beroep, Juridische status		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst			zaakwaarnemer	kw_ambt, kw_rest	\bfacto\w*, \bfact[oeu]+r\w*	"""factoor"";""facteur"";""factoors"""																
109	fiscaal		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	^ *\bfisca.{0,2}l\b, \bfisca\w*	"""fiscael"";""Fiscael"";""Officie Fiscaal van Braband"""																
108	fourier		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_rest	\bfourier\b	"""Hof-Fourier"";""Fourier"";""Fourier van het Hof"""																
350	fransen		Geografie		Geografie		Geografie				kw_rest	^ *franc?o?i?sen\w{0,2}\b *$	"""franschen"";""Franschen"";""fransen"""																
759	fransman		Geografie		Geografie		Geografie				kw_id	\bfran[chs]+man	"""francoisen"";""fransman"";""franchoisen"""																
282	fundateur		Juridische status		Justitie		(Juridische) status en Rechtspraak		?		kw_rest	\bfundat\w*	"""Fundatrice"";""den Fundateur"";""fundateur"""																
