0000159	Protestantsche Corps
0000160	Raad van Brabant
0000161	Raad van Brabant te Brussel
0000162	Raad van Brandenburg
0000163	Raad van Curaçau
0000164	Raad van Kleve
0000165	Raad van Munster
0000166	Raad van St Eustacius
0000167	Raad van State
0000168	Raad van State te Brussel
0000169	Raad van State van Engeland
0000170	Raad van State van Frankrijk
0000171	Raad van Suriname
0000172	Raad van Vlaanderen
0000173	Raadsverwanten van Venlo
0000174	Regiment Cavallerye
0000175	Regiment Cavallerye ten dienste deeser Landen
0000176	Regiment Cavallerye van den Generaal Major Baron van Rechteren
0000177	Regiment Dragonders van den Collonel Massau
0000178	Regiment Dragonders van den Collonel Mattha
0000179	Regiment Dragonders van den Collonel van der Duin
0000180	Regiment Dragonders van den Generaal Major du Portail
0000181	Regiment Dragonders van den Grave van Bylant
0000182	Regiment Dragonders van den Lieutenant Generaal Dopf
0000183	Regiment Dragonders van den Lieutenant Generaal Prince van Hessen Cassel
0000184	Regiment Grisons
0000185	Regiment Grisons in dienst van den Staat
0000186	Regiment Grisons van Salis
0000187	Regiment Grisons van Schmit de Grunek
0000188	Regiment Grisons van den Generaal Major Schmit
0000189	Regiment Guardes
0000190	Regiment Guardes Dragonders
0000191	Regiment Guardes te paart
0000192	Regiment Guardes te voet
0000193	Regiment Hollandsche Guardes te voet
0000194	Regiment Hussaaren
0000195	Regiment Infanterye in dienst van den Staat
0000196	Regiment Infanterye ten dienste deeser Landen
0000197	Regiment Infanterye ten dienste deser Landen
0000198	Regiment Orange Gelderlant
0000199	Regiment Schotten
0000200	Regiment Schotten van den Generaal Major Stuart
0000201	Regiment Switsers
0000202	Regiment Switsers van den
0000203	Regiment Switsers van den Generaal Major
0000204	Regiment Switsers van den Generaal Major Bouquet
0000205	Regiment Switsers van den Generaal Major Sturler
0000206	Regiment Switzers van Chambrier
0000207	Regiment Switzers van den Brigadier
0000208	Regiment Switzers van den Collonel Constant
0000209	Regiment Switzers van den Generaal Major Constant de Rebecque
0000210	Regiment Switzers van het Canton van Bern
0000211	Regiment Walsche Dragonders
0000212	Regiment Walsche Dragonders van den Generaal Major Grave van Bylant
0000213	Regiment Zwitzers van den Collonel de Gumoens
0000214	Regiment Zwitzers van den Generaal Major Hirzel
0000215	Regiment Zwitzers van den Generaal Major Marty
0000216	Regiment Zwitzers van den Generaal Major May
0000217	Regiment Zwitzers van den Lieutenant Generaal
0000218	Regiment Zwitzersche Guardes
0000219	Regiment des heeren van Chastillon
0000220	Regiment des heeren van La Noue
0000221	Regiment in dienst van den Staat
0000222	Regiment van Baden
0000223	Regiment van Baden Baden
0000224	Regiment van Bearn
0000225	Regiment van Belcastel
0000226	Regiment van Bentink
0000227	Regiment van Berchem
0000228	Regiment van Berkoffer
0000229	Regiment van Caris
0000230	Regiment van Chanclos
0000231	Regiment van Constant
0000232	Regiment van Cronstrom
0000233	Regiment van Douglas
0000234	Regiment van Flohr
0000235	Regiment van Friesheym
0000236	Regiment van Glinstra
0000237	Regiment van Graaff Ernst van Nassau
0000238	Regiment van Hessen Darmstat
0000239	Regiment van Hessen Homburg
0000240	Regiment van Heyden
0000241	Regiment van Keppelfox
0000242	Regiment van Lauwik
0000243	Regiment van Mattha
0000244	Regiment van May
0000245	Regiment van Montfort
0000246	Regiment van Nassau Dillenburg
0000247	Regiment van Nassau Gelderlant
0000248	Regiment van Nassau Stadhouder Stat en Lande
0000249	Regiment van Nassau Stat en Lande
0000250	Regiment van Pallant
0000251	Regiment van Patot
0000252	Regiment van Prins Maximiliaan van Hessen
0000253	Regiment van Rechteren van Hemert
0000254	Regiment van Ripperda
0000255	Regiment van Savornin
0000256	Regiment van Saxen Eysenach
0000257	Regiment van Saxen Eysenag
0000258	Regiment van Saxen Gotha
0000259	Regiment van St Amant
0000260	Regiment van Stolberg
0000261	Regiment van Torsay
0000262	Regiment van Vegelin
0000263	Regiment van Walef
0000264	Regiment van Wassenaar
0000265	Regiment van Wichers
0000266	Regiment van Zeelant
0000267	Regiment van Zoutelande
0000268	Regiment van den
0000269	Regiment van den Brigadier
0000270	Regiment van den Brigadier Berkhoffer
0000271	Regiment van den Brigadier Chambrier
0000272	Regiment van den Brigadier Ek van Panthaleon
0000273	Regiment van den Brigadier Elias
0000274	Regiment van den Brigadier Evertsen
0000275	Regiment van den Brigadier Haarsolte van Yrst
0000276	Regiment van den Brigadier Hirzel
0000277	Regiment van den Brigadier Idsinga
0000278	Regiment van den Brigadier Spaan
0000279	Regiment van den Brigadier Sturler
0000280	Regiment van den Brigadier de Salis
0000281	Regiment van den Brigadier van Burmania
0000282	Regiment van den Brigadier van Plettenburg
0000283	Regiment van den Brigadier van Rechteren
0000284	Regiment van den Brigadier van Welderen
0000285	Regiment van den Brigadier van der Duin
0000286	Regiment van den Collonel
0000287	Regiment van den Collonel 's Gravemoer
0000288	Regiment van den Collonel Buis
0000289	Regiment van den Collonel Carpenter
0000290	Regiment van den Collonel Coilin Lambert
0000291	Regiment van den Collonel Crommelin
0000292	Regiment van den Collonel Doys
0000293	Regiment van den Collonel Friesheim
0000294	Regiment van den Collonel Geuthem
0000295	Regiment van den Collonel Haarsolte
0000296	Regiment van den Collonel Lawik
0000297	Regiment van den Collonel Lynden
0000298	Regiment van den Collonel Pieter de la Rocque
0000299	Regiment van den Collonel Schak
0000300	Regiment van den Collonel Schmit
0000301	Regiment van den Collonel Smissaart
0000302	Regiment van den Collonel Soute
0000303	Regiment van den Collonel Taats van Amerongen
0000304	Regiment van den Collonel Wolterus
0000305	Regiment van den Collonel de Bedarides
0000306	Regiment van den Collonel de Gadelliere
0000307	Regiment van den Collonel de la Rocque
0000308	Regiment van den Collonel van Benthem
0000309	Regiment van den Collonel van Broekhuisen
0000310	Regiment van den Collonel van Echten
0000311	Regiment van den Collonel van Kinschot
0000312	Regiment van den Collonel van Oyen
0000313	Regiment van den Collonel van Randwyk
0000314	Regiment van den Colonnel Brog
0000315	Regiment van den Colonnel Edmont
0000316	Regiment van den Coronnel Douchant
0000317	Regiment van den Furst van Waldek
0000318	Regiment van den Generaal Colyear
0000319	Regiment van den Generaal Dopff
0000320	Regiment van den Generaal Fagel
0000321	Regiment van den Generaal Major
0000322	Regiment van den Generaal Major Ek
0000323	Regiment van den Generaal Major Halket
0000324	Regiment van den Generaal Major Hop
0000325	Regiment van den Generaal Major Huffel
0000326	Regiment van den Generaal Major Lewe
0000327	Regiment van den Generaal Major Lindeboom
0000328	Regiment van den Generaal Major Lintman
0000329	Regiment van den Generaal Major Majoribanks
0000330	Regiment van den Generaal Major Mulert
0000331	Regiment van den Generaal Major Stuart
0000332	Regiment van den Generaal Major Veldman
0000333	Regiment van den Generaal Major Wertmuller
0000334	Regiment van den Generaal Major de
0000335	Regiment van den Generaal Major de Gui
0000336	Regiment van den Generaal Major de Vilattes
0000337	Regiment van den Generaal Major de Villegas
0000338	Regiment van den Generaal Major de la Riviere
0000339	Regiment van den Generaal Major du Portail
0000340	Regiment van den Generaal Major van Brakel
0000341	Regiment van den Generaal Major van Els
0000342	Regiment van den Generaal Major van Holsten
0000343	Regiment van den Generaal Major van Keppel
0000344	Regiment van den Generaal Pretorius
0000345	Regiment van den Generaal Salisch
0000346	Regiment van den Generaal van Aylva
0000347	Regiment van den Grave van Albemarle
0000348	Regiment van den Grave van Clair
0000349	Regiment van den Grave van Erbag
0000350	Regiment van den Grave van Oostvrieslant
0000351	Regiment van den Grave van Rochefort
0000352	Regiment van den Grave van Tilly
0000353	Regiment van den Heere Prince van Nassau
0000354	Regiment van den Heere van de Lecq
0000355	Regiment van den Kroon Prins van Pruissen
0000356	Regiment van den Kroonprins van Pruissen
0000357	Regiment van den Lieutenant Generaal Dopf
0000358	Regiment van den Lieutenant Generaal Grave van Nassau la Lecq
0000359	Regiment van den Lieutenant Generaal Murray
0000360	Regiment van den Lieutenant Generaal Onderwater
0000361	Regiment van den Lieutenant Generaal van Schwartzenberg
0000362	Regiment van den Lieutenant Generaal van Sommerlatte
0000363	Regiment van den Prince van Nassau Usingen
0000364	Regiment van den Prince van Nassauw
0000365	Regiment van den Prince van Saxen Heylborg
0000366	Regiment van den Prins van Hessen Philipsthal
0000367	Regiment van den Prins van Wirtemberg
0000368	Regiment van den Ridder Veer
0000369	Regiment van den heer Oversten van Gent
0000370	Regiment van den hertoch van Candale
0000371	Regiment van den welgeboren heere Graue Erust van Nassau
0000372	Regiment van van der Beeke
0000373	RegimentSweedsche Infanterye
0000374	RegimentSweetsche Voetknechten
0000375	Regimenten - Artillerie
0000376	Regimenten - Cavallerie
0000377	Regimenten - Deens
0000378	Regimenten - Dragonders
0000379	Regimenten - Engels
0000380	Regimenten - Frans
0000381	Regimenten - Garderegimenten
0000382	Regimenten - Grisons
0000383	Regimenten - Infanterie
0000384	Regimenten - Mineurs
0000385	Regimenten - Schots
0000386	Regimenten - Waals
