beroep,aantal
Kannengieter,3
Kapitein,3
Karveelschipper,3
Kladschilder,3
Kleerverkoper,3
Kleinschuitenvoerder,3
Kofferbeslager,3
Kok,3
Koordwerker,3
Korenzifter,3
Korvenmaker,3
Kousenkoper,3
Lakendrapenier,3
Lakenhandelaar,3
Lakenverkoper,3
Landman,3
Leestenmaker,3
Lijnwaadverkoopster,3
Linnenwinkelier,3
Lonsvaarder,3
Molenmaker,3
Mosterdmaler,3
Moutmaker,3
Oudeklerenkoopster,3
Oudeklerenkoper,3
Pannenboeter,3
Passementswerker,3
Riembeslagmaker,3
Riemmaker,3
Schrijfmeester,3
Schuiermaker,3
Schuitenmaker,3
Smidsgezel,3
Soldaat onder hopman Neck,3
Spaansleertouwer,3
Spiegelverkoper,3
Spiegiljewerker,3
Suikerbakkersknecht,3
Tafelbordenverver,3
Tafellakenmaker,3
Tapijtwerker,3
Teerwerker,3
Touwslager,3
Uitdraagster,3
Uitdrager,3
Vleesslager,3
Vogelkoper,3
Wasvrouw,3
Wijnhandelaar,3
Wolklopper,3
Wolscheider,3
Wortelman,3
Zijdekramer,3
Zuivelkoopster,3
[Molenaar],3
Aambeeldmaker,2
Aanspreker,2
Arbeider aan de Stadswerken,2
Balmaker,2
Banketbakker,2
Bergerviskoper,2
Beschuitbakker,2
Bierbeschooier,2
Bierstekersknecht,2
Biertapper,2
Biervoerder,2
Blauwselmaker,2
Blauwverver,2
Bonnetverkoper,2
Boorhoutmaker,2
Brabantsestoelenmaker,2
Brandewijnman,2
Brandijzermaker,2
Brievenbesteller,2
Chercher,2
Diamantslijper,2
Draadtrekker,2
Droogscheerdersgezel,2
Drukker,2
Erwtenkoper,2
Frans schoolmeester,2
Fruitkoopster,2
Gasterijhouder,2
Glasblazer,2
Haringkoopster,2
Harpslager,2
Heftenmaker,2
Hofmeester,2
Hoornmaker,2
Houtbreker,2
Hozenverkoopster,2
IJzerdraadtrekker,2
IJzerverkoper,2
Instrumentmaker,2
Ivoordraaier,2
Kalkbrander,2
Kamelotter,2
Kanvaswerker,2
Karmozijnverver,2
Kassier,2
Koldermaker,2
Konstabel,2
Koopman in  Koperwerk,2
Koopman in Rijsselse waren,2
Koopmansbode,2
Koopmansfaktoor,2
Koordmaker,2
Koperwerker,2
Korenmeter,2
Korenstorter,2
Korrelmaker,2
Kousenbreier,2
Kousenverkoopster,2
Kousenverver,2
Kruidenierster,2
Lakenkoopman,2
Lakenkoopster,2
Lakensnijder,2
Lantaarnmaker,2
Lettergieter,2
Licentiaat in de rechten,2
Lijmzieder,2
Linnenlakenkoopman,2
Linnenlakenkoopster,2
Molenaarsknecht,2
Mutsenmaker,2
Ossenkoper,2
Oudeklerenverkoopster,2
Oudeschoenenmaker,2
Pennenverkoper,2
Pestmeester,2
Pompenmaker,2
Ponjaardmaker,2
Porseleinverkoper,2
Portugees Koopman,2
Potschipper,2
Preekstoelmaker,2
Rademaker,2
Rapiermaker,2
Riembeslager,2
Roedrager,2
Roodleermaker,2
Samoreusschipper,2
Schavenmaker,2
Scheepsmaker,2
Scheepsschilder,2
Schipper op  Moscovi,2
Schipper van een dendepot,2
Schippersknecht,2
Scholkoper,2
Schrijver,2
Servetwever,2
Slachter,2
Soldaat onder  hopman Neck,2
Soldaat onder Kapitein Soop,2
Soldaat onder Niclaes de Leur,2
Soldaat onder hopman Pieter van Neck,2
Soldaat onder majoor Hasselaer,2
Speldenwerkster,2
Spiegelstoffeerder,2
Spiesenmaker,2
Spietsenmaker,2
Stadsarbeider,2
Stalknecht,2
Steensnijder,2
Stopster,2
Student,2
Suikerkoper,2
Tafeletboekmaker,2
Tafelhouder,2
Tamboer,2
Teerkoper,2
Trijpmaker,2
Trommelmaker,2
Trompetblazer,2
Turfpontvoerder,2
Turfschuitenvoerder,2
Vellenploter,2
Veterbeslager,2
Vijzelaar,2
Vlaskoopster,2
Vlaster,2
Vlasverkoper,2
Vleeshouwster,2
Wijnheer,2
Winkelhouder,2
Witwerker of Gietermaker,2
Wollenlaken- verkoopster,2
Zevenmaker,2
Zijdehandelaar,2
Zijdenlakenkoopster,2
Zijdenlintwerker,2
Zijdewever,2
Zoutkoper,2
[Klerk],2
[Melker],2
[Reepmaker],2
[Schilder],2
"""Drager in de """"Cleynen Ganck""""""",1
's Heren Dienaar,1
Aankomend Bierdrager,1
Aankomend korendrager,1
Aardwerker,1
Adelborst onder Hopman Pieter van Neck,1
Adelborst onder hopman Pieter van Neck,1
Afslager,1
Afzetter,1
Antieksnijder,1
Arbeider bij de West-Indische Compagnie,1
Arbeider en Schoenlapper,1
Arbeider in de Blauwselmolen,1
Arbeider in de granen,1
Arbeider op 't Boshuis,1
Arbeider op de Stadsvuilnis- schuiten,1
Baaidrapenier,1
Baggerman,1
Bakker en Zeepzieder,1
Ballaster,1
Ballenmaker,1
Bandenmaker,1
Banketmaker,1
Basconter,1
Beddenkoper,1
Begijnenkoekbakster,1
Bereider,1
Beschuitbakkers- gezel,1
Bewindhebber,1
Bierbeschoeiers- knecht,1
Bierbeschooiers- knecht,1
Bierverkoper,1
Binenlandsvaarder,1
Binnelandsvaarder,1
Binnenlandschipper,1
Binnenlandsvaaerder,1
Binnenlandvaarder,1
Binnnenlandsvaarder,1
Blankverver,1
Blauwschorteldoek- verver,1
Blinde bedelaar,1
Blokkoper,1
Bode,1
Bode op Nijmegen,1
Bode op Nimmegen,1
Bode van de Admiraliteit,1
Boeckholt,1
Boeierschippers- gezel,1
Boekbindersgezel,1
Boekhouder van de O.I.C.,1
Boekkoper,1
Boekslotenmaker,1
Boekspiegelmaker,1
Boendermaker,1
Boer,1
Boezemmaker,1
Bokkingdroger,1
Bombazijnverver,1
Bonetmaker,1
Bonnet- en Schoenmaker,1
Boogmaker,1
Bootsman en Tavernier,1
Boren- en schavenmaker,1
Boren-en Schavenmaker,1
Borenmaker,1
Boterkoper,1
Botermaker,1
Brabantse huikenmaker,1
Brabantsehuiken- maker,1
Brandewijn- verkoopster,1
Brandhoutkoper,1
Brandhoutverkoper,1
Breider,1
Breidwerker,1
Brokaatwerker,1
Brouwster,1
Buidelmaakster,1
Buitenlandsvaarder,1
Busmaker,1
Busschieter,1
Chirurgijnsgezel,1
Cipier van de gevangenen,1
Clavecimbelmaker,1
Damloper/Schipper,1
Dekenkoper,1
Delftseschuiten- voerder,1
Dienaar der Thesaurier Extra-Ordinaris,1
Dienaar van Majoor Hasselaer,1
Doogscheerder,1
Drapenierster,1
Droogscheerder en soldaat,1
Elzenmaker,1
Erwtenverkoper,1
Ex-Predikant te den Haghe,1
Ex-Schipper,1
Ex-Schout van Bergen,1
Ex-koopman,1
Ex-makelaar,1
Faktoor in ijzer,1
Faktoor van de steen,1
Faktoor van de vis,1
Fijntafellakenwever,1
Franse school- meester,1
Fruitier,1
Garbuleerder op 't Oost-Indische Huis,1
Gardernier,1
Garenverver,1
Garnalenkoper,1
Garnalenverkoper,1
Geneesmeester,1
Gespenmaker,1
Gevestmaker,1
Gezworen  Korenzetter,1
Gezworen IJkmeester,1
Gezworen Meter,1
Gezworen korenzetter,1
Gladperser,1
Glazen- en kruikenkoper,1
Glazenverkoper,1
Goudlakenwerker,1
Goudleerwerker,1
Graanverkoopster,1
Grofschilder,1
Grofsmidsgezel,1
Grootkuipmaker,1
Grootschuiten- voerder,1
Grossier in Rijsselse waren,1
Hambourch,1
Handelaar in Doornikse waren,1
Handelaar in Rijsselse waren,1
Handelaar op Bergen in Noorwegen,1
Handschoen- en Colliermaker,1
Harpuizer,1
Hekelkammer,1
Hennepkoopman,1
Hennikenmaker,1
Hennikkenmaker,1
Herbergier en Pachter,1
Hoedenkoper,1
Hoenderverkoopster,1
Hoenderverkoper,1
Hordenverkoper,1
Horenbreker,1
Houtkramer,1
Huistimmermansgezel,1
IJkmeester,1
IJzerkoper,1
IJzerkramersgezel,1
Ijzerkramer,1
Jager,1
Jager v/d Haarlemmer vrachtschuiten,1
Kaarsenkoper,1
Kaartafzetter,1
Kaaskoopster,1
Kaasmaker,1
Kabinetwerkverkoper,1
Kaffawerker en varensgezel,1
Kagenaar,1
Kalandermolenwerker,1
Kalkmeter,1
Kalkwerker,1
Kamerijks-doekwerker,1
Kamerijksdoekwerker,1
Kamster,1
Kannendekker,1
Kannenverkoper,1
Kanvashandelaar,1
Kapitein in het leger,1
Karmozijneerwas- knecht,1
Karmozijnwerker,1
Kassenmaker voor naai- en speldenkussens,1
Kelderknecht,1
Ketelboeter,1
Keurmeester van de zeep,1
Klavecimbelmaker,1
Kleerkoopster,1
Kleermaker en Wever,1
Kleermakersgezel,1
Kleermakersknecht,1
Kleinbiertapster,1
Kleinschipper,1
Kleinschuiten- voerder,1
Klerk,1
Klerk ter Secretarie,1
Klerk van Notaris Jan Warnertsz,1
Klerk van de Thesaurier Extraordinaris,1
Klerk van de extra-ordinaris Thesaurier,1
Klerk van notaris Nicolaes Jacobsz,1
Klerk van notaris Ruttes,1
Klokkenluider,1
Klokkenmaker,1
Knecht,1
Knecht in de Schouwburg,1
Knecht op 't Haarlemmerveer,1
Knecht op 't Rotterdamse veer,1
Knecht op 't Utrechtseveer,1
Knecht op het Delftscheveer,1
Knecht op het Haarlemmerveer,1
Knecht van de Huiszittenmeesters,1
Knecht van het Gasthuis,1
Kolenmaker,1
Kolenmeter,1
Kollekteur van de impost op het fruit,1
Kolonel,1
Konfituurmaker,1
Konvooiloper,1
Koopgezel,1
Koopman en Herbergier,1
Koopman in Engelse en Rijsselse waren,1
Koopman in Gebreide Hozen,1
Koopman in Munitie,1
Koopman in Rijselse waren,1
Koopman in Rijsselsche waren,1
Koopman in Wollen- en Linnenlakens,1
Koopman in gebreide hozen,1
Koopman in gebreide kousen,1
Koopman in linnen lakens,1
Koopman in wollen lakens,1
Koopman van koperwerk,1
Koopvaarder,1
Koperenslotenmaker,1
Korfmaker,1
Kousen- en Kleermaker,1
Kousenkramer,1
Kousenwinkelierster,1
Kramer en Herbergier,1
Kramer en vlotschuitenvoerder,1
Kranenmaker,1
Kransenmaker,1
Kruikverkoper,1
Kruissmid,1
Kuipersgezel,1
Lakenkoopvrouw,1
Lakenkopersgezel,1
Lakenkopersknecht,1
Lakenperser,1
Lakenscharenslijper,1
Lakenstopster,1
Lakmoesmaker,1
Lancettenmaker,1
Lantarenmaker,1
Legatuurwerker,1
Licentiaat,1
Licentiaat in de Rechten,1
Ligatuurverkoper,1
Ligatuurwerker,1
Lijnwaaddrukker,1
Lijnwatierster,1
Linnenlakenpakker,1
Linnenlakenverkoper,1
Linnenlakenwever,1
Linnennaaister,1
Linnenwerker,1
Linnenwinkelierster,1
Linnnenwever,1
Looiwerker,1
Lopende bode,1
Loper van de boden op Hamburch,1
Luitenant te water,1
Makelaarsdienaar,1
Makelaarster,1
Manufaktuur- winkelier,1
Meester,1
Messenkoper,1
Modderman of Slager,1
Moeder in 't Urkse Gasthuis,1
Moscovievaarder,1
Mosterdman,1
Mutsendrukker,1
Noodhulp van de Bierdragers,1
Olieslager en  Bakker,1
Olieslagersknecht,1
Olieverkoper,1
Operateur en Steen- en Breuksnijder,1
Ophouder,1
Ophouder van het koren,1
Opzichter in de Waag,1
Oranjeappel- verkoopster,1
Organist,1
Orgelmaker,1
Oud-touwverkoper,1
Oude-klerenverkoopster,1
Oude-schoenenmaker,1
Oudeschoenen- verkoopster,1
Passementmaker,1
Passementverkoper,1
Pasteimeester,1
Pelter,1
Pennenmaker,1
Pensionaris,1
Pensverkoper,1
Perkamentmaker,1
Petroleumverkoper,1
Plateelbakker,1
Pleistergieter,1
Pokmeester,1
Pomp- en Fonteinmaker,1
Pontvaarder,1
Pontvoerder,1
Portier van de St. Anthonispoort,1
Pottennbakker,1
Preceptor,1
Predikant,1
Predikant van de Waalse Kerk,1
Procureur,1
Provoost van de Aalmoezeniers,1
Puttenboorder,1
Radermaker,1
Radmaker,1
Randensnijder,1
Rijnschipper,1
Rijselse winkelier,1
Roodleerverver,1
Roodleerwerker,1
Rotterdammerveer- knecht,1
Rouansvaarder,1
Ruigwerker,1
Satijnen koordverkoper,1
Satijnenbandwerker,1
Schalenmaker,1
Scheepsmakelaar,1
Schelpzandmaker,1
Schipper of Pontman,1
Schipper op Ceulen,1
Schipper op Engeland,1
Schipper op Haerlem,1
Schipper op Hamburch,1
Schipper op Hamburg,1
Schipper op een smalschip,1
Schipper/Binnenlandsvaarder,1
Schippers,1
Schoen- en Leestenmaker,1
Schoenmaker en Bakker,1
Schoenmaker of schoenlapper,1
Schoenmakersgezel,1
Schoolhouder,1
Schoolmeesteer,1
Schoonmaakster,1
Schopmaker,1
Schoppenmaker,1
Schots Koopman,1
Schots koopman,1
Schout van Aemsterveen,1
Schouwer,1
Schrijftafel- boekmaker,1
Schrijftafelmaker,1
Schrijver ter Admiraliteit,1
Schrijver van de Hopman Symon Swaen,1
Schuierhoutmaker,1
Schuiermaakster,1
Schuitenvoerder op Rotterdam,1
Schuitenvoerder op het Leidse Veer,1
Schuitenvoerders- knecht,1
Schuur- en Wasvrouw,1
Secretaris te Steenwijk,1
Sekretaris,1
Sleper van de  lakens in de ververij,1
Sluiswachter,1
Smalschuitenvoerder,1
Smidsknecht,1
Snijder en Soldaat,1
Snyder,1
Soldaat bij hopman Niclaes van der Leur,1
Soldaat en Appelkruier,1
Soldaat onder  Harman Roodenburch,1
Soldaat onder  hopman Harman Rodenburch,1
Soldaat onder  hopman Herman Rodenburch,1
Soldaat onder  hopman Niclaes de Leur,1
Soldaat onder  hopman Willem  Sprong,1
Soldaat onder Hopman Neck,1
Soldaat onder Kapitein Nicolaes,1
Soldaat onder Kapitein van Heusden,1
Soldaat onder Symon Zwaen,1
Soldaat onder de Mayeur,1
Soldaat onder hopman Harman Rodenburch,1
Soldaat onder hopman Harmen Roodenburch,1
Soldaat onder hopman Herman Roodenburch,1
Soldaat onder hopman Niclaes Lefevre,1
Soldaat onder hopman Niclaes de Leur,1
Soldaat onder hopman Symon Swaen,1
Soldaat onder hopman Vos,1
Soldaat onder hopman Willem Sprongh,1
Soldaat onder kapitein Leur,1
Soldaat onder kapitein Neck,1
Soldaat onder kapitein van Heusden,1
Soldaat onder majoor nn.,1
Soldaat te water,1
Soldaat van hopman Nerk,1
Soldeerder,1
Solliciteur op de Convooien,1
Spaansestoelen- draaier,1
Spaansleerlereider,1
Spaanslerbereider,1
Spiegelkoper,1
Spiegelvergulder,1
Spiegelwerker,1
Spiezenmaker,1
Spigiljewerker,1
Spigiljewinkelier,1
Spinnewielmaker,1
Sporenmaker,1
Stadsbode,1
Stadswachter,1
Stadswaker,1
