In	O
deliberatie	O
geleijt	O
sijnde	O
,	O
Is	O
goetgevonden	O
ende	O
verstaen	O
mits	O
desen	O
te	O
surrogueren	O
de	O
Heer	B-PER
Rodenburch	I-PER
in	O
plaetse	O
vande	O
Heer	B-PER
vander	I-PER
Hoolck	I-PER
de	O
Heer	B-PER
Glinstra	I-PER
in	O
plaetse	O
vande	O
Heer	B-PER
Radbodus	I-PER
,	O
ende	O
de	O
Heer	B-PER
Mulert	I-PER
in	O
plaetse	O
vande	O
Heer	B-PER
Isselmuden	I-PER
vermits	O
d'absentie	O
van	O
deselve	O
Heeren	O
om	O
met	O
ende	O
nevens	O
'	O
andere	O
heeren	O
haer	O
Ho	O
:	O
Mo	O
:	O
Gedeputeerden	O
te	O
besoigneren	O
in	O
Saecken	O
van	O
poortugael	B-LOC
.	O
.	O
